Palestrante;Minibio
Andressa Gatto;"Tradutora desde 2005, revisora desde 2010 e intérprete de conferências desde 2017. Bacharel em Letras (Português – Inglês) pela UFRJ, pós-graduada em Tradução de Inglês pela Universidade Gama Filho e formada em Interpretação de Conferências (com especialização em Interpretação Comunitária pela UnB). Seus trabalhos de legendagem e revisão podem ser vistos nas principais plataformas de streaming. Há seis anos, ministra aulas de Tradução Audiovisual. É mentora voluntária do Programa Caminho das Pedras, promovido pela ABRATES. Em 2023, abriu os Cursos Gatto, sua escola de Legendagem, que conta com três cursos: o Minicurso de Prática de Legendagem, o Minicurso de Legendagem para Iniciantes e o Minicurso de Subtitle Edit.
"
;
Anna Ligia Pozzetti;Anna Ligia é intérprete de conferências de japonês. É certificada pelo Center for Interpretation and Translation Studies da University of Hawaii at Manoa, como intérprete de conferências, nos pares japonês/inglês. É formada em ciências econômicas pela Unicamp e mestre em história econômica pela mesma universidade, com pesquisa sobre a formação do capitalismo no Japão. Trabalha como intérprete desde 2012 e possui uma vasta experiência em diversas áreas, como economia, finanças, arquitetura, educação, cultura e arte. Apaixonada pelo ofício do intérprete, sempre busca o aprimoramento profissional através de cursos dentro e fora do Brasil. É membro efetivo da APIC e associada ao SINTRA e à ABRATES. É instrutora de interpretação simultânea inglês-português na Alumni.
;
Anna Vianna;Formada Intérprete de Conferência em 1996 e Tradutora em 1998 pela PUC-Rio, Anna Vianna abriu a Simultânea Ltda em 1998 e desde então trabalha exclusivamente com tradução escrita e tradução simultânea em eventos internacionais. Em 2006 foi aprovada em um teste realizado pelo FMI e se tornou intérprete para a instituição em missões para a África e durante as reuniões anuais conjuntas do FMI e do Banco Mundial. Em 2008, também como resultado de um teste, Anna Vianna se tornou a intérprete da transmissão da cerimônia do Oscar pela Rede Globo. Anna é membro das mais importantes associações de intérpretes e tradutores nacionais e internacionais, como a AIIC, APIC e Sintra. Anna Vianna é carioca, triatleta e mãe de dois filhos.  O que ninguém sabe sobre a Anna é que ela é mestre em biofísica e sabe sequenciar um vírus!
;
Any Marry;Any Marry é tradutora inglês <> português e Mestre em História pela PUC-SP. A tradução fez parte da sua vida desde adolescência, quando traduzia conteúdos de fã para fãs, até a sua formação em história como pesquisadora de literatura de viagem e colonialismo. Aprender a importância de arquivar e organizar documentação/arquivos vem da experiência profissional em centros de memória de entretenimento e empresarial. A junção de história, pesquisa, arquivo e tradução formam a profissional e pessoa, Any Marry. 
;
Ascanio Roquette;Ascanio Roquette foi professor de inglês por quinze anos, período em que também exerceu o cargo de Coordenador e Diretor de Escola de Inglês. A partir de 1992, passou a se dedicar à tradução. Foi o tradutor do projeto “Harvard ManageMentor” lançado no Brasil em português pela Universidade de Harvard. Foi responsável pela internacionalização de todos os documentos contratuais e técnicos da Vale. É formado em letras pela UFMG e possui os Certificados de Operational Competence in English pela Southern Illinois University (USA) e Proficiency de Michigan (USA) e Cambridge (UK). É o fundador e criador do AVRO dx.
;
Beatriz Araujo;"Tradutora Inglês - Português certificada pela Abrates. • Patentes para indústria farmacêutica Livros técnicos (medicina, farmácia, química e bioquímica) • Dados de segurança de materiais (químicos, dispositivos médicos entre outros) • Manuais de dispositivos e equipamentos médicos (patentes incluídas) • Relatórios de ensaios clínicos e protocolos para Drug Regulatory Affairs - Indústria Farmacêutica • Documentos de saúde pública (Fiocruz, entre outros) • Documentação técnica para indústria farmacêutica e química (patentes, relatórios, legislação, produção, controle de qualidade, validação, assuntos regulatórios); indústria de petróleo e gás (petroquímica) • Artigos (papers) para pesquisa médica e farmacêutica Atividade profissional Mentoria (ABRATES) – mentora de tradutores recém-formados / Desde 2016 Especialidades: ciências da vida, patentes (indústria farmacêutica), artigos, química. Livros técnicos."
;
Beatriz Santana;"Foi sócia-fundadora e uma das idealizadora da IPSIS LITTERIS Assessoria Educacional e Linguística, onde atuou como diretora acadêmica de 2018 a 2020. Participou da implantação do programa federal PLANO NACIONAL ALFABETIZAÇÃO NA IDADE CERTA (PNAIC) no Estado de São Paulo no ano de 2013 pela UFSCAR. Atuou no PROJETO VOLUNTÁRIO AMAZON VIDA 2011, com formação de professores e contação de história para crianças nas comunidades Ribeirinhas; e no Projeto SER UM MANO nos anos de 2002/2003, com adolescentes apreendidos na FEBEM TATUAPÉ. É membro voluntário da Comissão da ABNT (Associação Brasileira de Normas Técnicas) desde 2007. Atualmente é Especialista da área de Educação, Artes e Humanidades da Rede Laureate Brasil, contratada pelo Centro Universitário das Faculdades Metropolitanas Unidas (FMU), uma das instituições dessa rede de ensino. Na FMU é professora dos cursos de Letras, Tradução e Interpretação, e Artes Visuais."
;
Bete Köninger;Bete Köninger é tradutora e intérprete, especializada no par alemão-português, com mais de 25 anos de experiência como tradutora juramentada na Alemanha. Formada em jornalismo pela Universidade Federal Fluminense, ela emigrou para a Alemanha no século passado, onde foi jornalista freelancer, ensinou português para estrangeiros, fez uma especialização técnica em segurança ocupacional, trabalhou para o consulado do Brasil e entrou para o mundo da tradução, sendo aprovada no exame para tradutores públicos. De 2008 a 2009, foi professora convidada a ministrar o curso de comunicação intercultural na Universidade de Ciências Aplicadas de Aalen.
;
Bhernardo Viana;O mundo dos jogos digitais é muito conhecido por várias pessoas. Muitos já baixaram um jogo no celular ou viram parentes e amigos jogando alguma coisa. Mas mesmo para quem conhece os games, o mundo dos esportes eletrônicos ainda é um mistério. O que são, afinal, os esports? Como as pessoas vivem disso, por que são uma tendência e qual é a situação da tradução no ramo?
;
Bianca da Costa;"Bacharela em tradução pela PUC-SP, Bianca da Costa atua há nove anos na área de tradução para dublagem no par inglês-português e tem mais de quatrocentas horas de produções traduzidas; incluindo séries, documentários, realities e longas-metragens. Atualmente, Bianca assina os roteiros de tradução para dublagem de Percy Jackson e os Olimpianos, Wish: O Poder dos Desejos e Ginny e Georgia."
;
Bianca Melyna;Bianca Melyna Filgueira é tradutora, legendadora, revisora e designer de jogos de mesa. Trabalha com tradução no par francês <> português desde 2013. É formada em História, Letras-Francês e é mestre em História, todos pela Universidade Federal de Santa Catarina. Possui 3 jogos de mesa publicados no Brasil, sendo um deles premiado como melhor jogo expert de designer nacional em 2018. Atualmente, está estudando processos de retextualização em Estudos da Tradução.
;
Bruna Andrade;Trabalha com Tradução Audiovisual na Globo, acompanhando de perto o caminho que um conteúdo percorre — da tradução à tela. Atua com curadoria, revisão, padronização e apoio a dublagem e legendagem, além de colaborar no desenvolvimento de fluxos, testes com IA, criação e organização de glossários e manuais. Usando técnica, estratégia e cuidado com a linguagem, busca entregar histórias que se conectem com o público.
;
Bruna Beatriz;Bruna Beatriz Gabriel é curiosa e apaixonada pela tradução, especializada em localização de videogames e aplicativos. Com experiência prática em Diablo Immortal, HearthStone, jogos para celular da Kahoot! e seus parceiros, como a Disney, combina a formação prévia em Relações Internacionais e mais de 10 anos de estudo e trabalho como tradutora de português para entregar experiências digitais idiomáticas e imersivas ao público brasileiro. Mais recentemente, vem contribuindo para a tradução por meio da educação, seja por meio de palestras, cursos ou artigos de blog. É uma leitora voraz e vive na multicultural Montreal há 5 anos.
;
Bruna Marchi;Bruna Marchi, advogada e tradutora, discorrerá sobre a sua experiência como fundadora de uma boutique de tradução jurídica e contará sobre sua experiência ao longo dos anos à frente da empresa.
;
Bruno Fontes;Gerente de Projetos e Engenheiro de Localização experiente com um histórico comprovado de trabalho na indústria de tradução e localização. Hábil em SDL Studio, memoQ e outros. Desenvolvedor nas horas vagas, criou o https://dicionarios.cc, um útil atalho de dicionário, que facilita encontrar a definição do seu termo em diversos dicionários.
;
Camila Rodrigues;Camila, 34 anos. Engenheira Civil (MACKENZIE 2012), Fotógrafa (CADOC Founder, 2017), Formanda de Artes e Teatro ( UNIITALO BRASILEIRA, atual). Em 2016 conheceu a fotografia na prática. Autodidata se encantou pela fotografia de famílias, deixando pra trás a carreira de engenheira civil. Fez cursos livres, mentorias até fundar, em 2017, a CADOC Fotografias e vários outros projetos, como o @sigaseamando e o @elyseesfotografia. Com a pandemia, a falta de eventos e a proposta de se reinventar, os grupos de amigos passaram a solicitar retratos até que desenvolveu-se então, a aula de auto-retrato com smartphone e a edição básica em apps.
;
