Origem;Título;Palestrante;Free;Tradução;Interpretação;Revisão;Ferramentas;Geral;Língua;Cuidados;Redes Sociais;Dublagem;Legendagem;Literária;Jogos;Jurídica;Médica;Técnica;Cursos;Links
S04E42;Condições que devemos exigir para a interpretação remota;Tony Rosado;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/condicoes-que-devemos-exigir-para-a-interpretacao-remota-s04e42/
S04E42;Conditions we must demand for remote interpreting;Tony Rosado;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/conditions-we-must-demand-for-remote-interpreting-s04e42/
S04E43;Como sua mãe já dizia: você não é todo mundo;Regiane Winarski;;x;;;;x;x;;;;;x;;;;;;https://translators101.com.br/video/como-sua-mae-ja-dizia-voce-nao-e-todo-mundo-s04e43/
S04E45;Conhecimento é poder;Natalie Gerhardt;;x;x;;;x;x;;;;;x;;;;;;https://translators101.com.br/video/conhecimento-e-poder-s04e45/
S04E46;Italiano e português: tão parecidos e tão diferentes;Mauro Moser;;;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s04e46-mauro-moser/
S04E47;Langue x Parole: uma discussão dicotômica “nesSAUSSUREa”;Lia Bittencourt;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s04e47-lia-bittencourt/
S04E48;Máquinas, política e futebol: traduzindo do alemão;Marcelo Neves;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/maquinas-politica-e-futebol-traduzindo-do-alemao-s04e48/
S04E49;FAQ de tradutores sobre finanças e investimentos;Isabela Fontanella;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/organizar-vida-financeira-tradutor/
S04E50;A Sétima Maravilha das Organizações Internacionais;Claudinei Nunes e Mônica Lange;;;x;;;x;x;;;;;;;x;;;;https://translators101.com.br/video/a-setima-maravilha-das-organizacoes-internacionais-s04e50/
S04E51;Achados de uma mentoria: o que aprendemos ensinando tradução literária;Debora Fleck e Mariana Serpa;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s04e51-as-pretextas/
S05E01;Erros recorrentes em revisão e técnicas para solucioná-los;Hariele Quara;;x;;x;;x;x;;;;;;;;;;;https://translators101.com.br/video/erros-recorrentes-em-revisao-e-tecnicas-para-soluciona-los-s05e01/
S05E02;A gênese da tradução da obra The Scandals of Translation, de Lawrence Venuti;Marileide Dias Esqueda;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/a-genese-da-traducao-da-obra-the-scandals-of-translation-de-lawrence-venuti-s05e02/
S05E03;Indo além da tradução: novos caminhos e oportunidades para profissionais do texto;Luciana Boldorini e Ivar Jr.;;x;;;;x;;;;;;x;x;;;x;;https://translators101.com.br/video/indo-alem-da-traducao-novos-caminhos-e-oportunidades-para-profissionais-do-texto-s05e03/
S05E04;Per aspera ad astra: a tradução de High Frontier 4 All;Ricardo Garcia;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/per-aspera-ad-astra-a-traducao-de-high-frontier-4-all-s05e04/
S05E05;Dicas para otimizar o seu processo de revisão;Luiza Leite Ferreira;;x;;x;x;x;;;;;;;;;;;;https://translators101.com.br/video/dicas-para-otimizar-o-seu-processo-de-revisao-s05e05/
S05E06;Da boca para o texto escrito;Amarilis Okida;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/da-boca-para-o-texto-escrito-s05e06/
S05E07;A comunicação intercultural pelos olhos de uma intérprete de japonês;Anna Ligia Pozzetti;;x;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s05e07-anna-ligia-pozzetti/
S05E08;Jogo de palavras: localização de jogos de tabuleiro;Paula Pizauro;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/localizacao-jogos-tabuleiro/
S05E09;Reflexões sobre a criação de recursos visuais a partir de conteúdos textuais;Mariana Casetto;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e09-mariana-casetto/
S05E10;Tradução de jogos — O mercado brasileiro;Maryanne Linz e Edmo Suassuna;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/s05e10-edmo-e-maryanne/
S05E11;Closed Caption: legenda com emoção;Diego Marsicano;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s05e11-diego-marsicano/
S05E12;Ficção histórica: tudo serve para alguma coisa;Monique D'Orazio;;x;;;;;x;;;;;x;;;;;;https://translators101.com.br/video/s05e12-monique-dorazio/
S05E13;Melhores práticas de LQA: um Fail diz tudo?;Andrea Gonçalves Pinto;;x;;x;x;x;;;;;;;;;;;;https://translators101.com.br/video/melhores-praticas-lqa/
S05E14;Legendagem em tempo real feita por estenotipia com tradução simultânea;Giovana Lara;;;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s05e14-giovana-lara/
S05E15;Os desafios na tradução de Uma mulher estranha, da escritora feminista turca Leylâ Erbil;Marco S. de Pinto;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s05e15-marco-de-pinto/
S05E16;Contra o terraplanismo linguístico na tradução;Rane Souza e Jorge Davidson;;;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e16-rane-e-jorge/
S05E17;Equipamentos e RSI: o que fazer, o que não fazer, quando chorar;Daniel Maciel;;;x;;;;;;;;;;;;;;;https://translators101.com.br/video/s05e17-daniel-maciel/
S05E18;O que é e como funciona uma boutique de tradução jurídica;Bruna Marchi;;;;;;;;;;;;;;x;;;;https://translators101.com.br/video/s05e18-bruna-marchi/
S05E19;Cadê o original que estava aqui? Quando uma tradutora se torna copywriter;Lara Talhaferro;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/copywriting-para-tradutores/
S05E20;Tradutores juramentados: mitos e verdades;Carolina Ventura;;x;;;;;;;;;;;;x;;;;https://translators101.com.br/video/s05e20-carolina-ventura/
S05E21;Variantes linguísticas: com que roupa eu vou?;Danny Reis;;x;;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s05e21-danny-reis/
S05E22;Interação humano-computador na tradução: dos benefícios aos desafios;Rossana Cunha;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s05e22-rossana-cunha/
S05E23;Quality Assurance no cliente: o outro lado da mesa;Priscila Mottola;;x;;x;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e23-priscila-mottola/
S05E24;Localização de games: linguagem e mídia;Horacio Corral;;x;;;;;;;;;;;x;;;;;https://translators101.com.br/video/localizacao-de-games/
S05E25;VERSÃO BRASILEIRA: os desafios e as alegrias de adaptar canções para o português;Mariana Elisabetsky;;x;;;;;;;;;;;;;;;;
S05E26;UTF? ANSI? O que são codificações de texto, por que existem e como lidar com elas no trabalho de legendagem;Guilherme Gama;;x;;x;x;;;;;;;;;;;;;https://translators101.com.br/video/s05e26-guilherme-gama/
S05E27;Mercado de trabalho — Teoria e prática;Isabel Riera;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/mercado-de-trabalho-teoria-e-pratica-s05e27/
S05E28;Linux para tradutores;Rafa Lombardino;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/linux-para-tradutores-s05e28/
S05E29;Uma porta para grandes oportunidades;Wania Grandesso;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/grandes-oportunidades-traducao/
S05E30;A tradutora roqueira: livros, música e interação com os leitores;Candice Soldatelli;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s05e30-candice-soldatelli/
S05E31;Dicionário Gastronômico: receita e degustação;Rozane Rebechi;;x;;x;x;;;;;;;;;;;;;https://translators101.com.br/video/s05e31-rozane-rebechi/
S05E32;Qual é a dimensão do mundo do tradutor?;Juliana Pazetti;;x;x;x;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e32-juliana-pazetti/
S05E33;Tradução de textos de turismo e viagem: características e teoria funcionalista;Sofia Pulici;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e33-sofia-pulici/
S05E34;Traduzindo Neil Gaiman e outras criaturas fantásticas;Renata Pettengill;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s05e34-renata-pettengill/
S05E35;A Tradulação de Krazy Kat e Otros Kuadrinhos Komplicados (sic);Érico Assis;;x;;;;;;;;;;x;;;;;;https://translators101.com.br/video/s05e35-erico-assis/
S05E36;Os paralelos entre o trabalho do tradutor dos serviços de inteligência e o trabalho do tradutor freelancer;Melissa Harkin;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e36-melissa-harkin/
S05E37;O papel vital de comunicação do revisor;Marsel de Souza;;;;x;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e37-marsel-de-souza/
S05E38;As palavras e nossa mitologia pessoal;André Gabeh;;;;;;x;x;;;;;;;;;;;https://translators101.com.br/video/s05e38-andre-gabeh/
S05E39;Do Sul do Brasil ao Norte da América do Norte: como internacionalizei minha carreira no Canadá;Bruna Beatriz;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/internacionalizar-carreira-tradutor/
S05E40;Born to be global - A importância da tradução de SEO;Luana Santos;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s05e40-luana-santos/
S05E41;Traduzindo marketing;Filipe Alverca;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e41-filipe-alverca/
S05E42;Da tendência à palavra: uma introdução à tradução de moda;Júlia Jacóbi;;x;;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e42-julia-jacobi/
S05E43;Tudo que eu posso dizer sobre tradução audiovisual sem quebrar nenhum sigilo;Daniel Erlich;;x;;;;;;;;;x;;;;;;;https://translators101.com.br/video/s05e43-daniel-erlich/
S05E44;Tradução animal! Uma ou duas coisinhas que você precisa saber antes de se aventurar nos textos de medicina veterinária;Luciana Bonancio;;x;;;;x;;;;;;;;;;x;;https://translators101.com.br/video/traducao-de-medicina-veterinaria/
S05E45;Qualidade da tradução na era da revolução tecnológica;Aline Tomasuolo;;x;;x;x;;;;;;;;;;;;;https://translators101.com.br/video/s05e45-aline-tomasuolo/
S05E46;Línguas de trabalho: o que são e como mantê-las afiadas;Christiano Sanches;;;x;;;x;x;;;;;;;;;;;https://translators101.com.br/video/linguas-trabalho-interpretacao/
S05E47;Jurídico e ciência na interpretação de noticiário;Denise e Natalie;;;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/s05e47-denise-bobadilha-e-natalie-graue/
S05E48;O método Starbucks aplicado ao mundo da tradução;Aline Tomasuolo;;x;;;;;;;;;;;;;;;;https://translators101.com.br/video/metodo-starbucks/
S05E49;Arquivar, organizar e traduzir;Any Marry;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/s05e49-any-marry/
S05E50;Termos de negócios e finanças que todo tradutor deve conhecer;Isa Mara Lando;;x;x;;;x;;;;;;;;;;;;https://translators101.com.br/video/termos-negocios-financas-ingles/
S06E01;SEO - Sites que agradam o Google;Teresa Sousa;;x;;;x;x;;;;;;;;;;;;https://translators101.com.br/video/seo-sites-que-agradam-o-google-s06e01/
S06E02;"LocJAM - Soluções ""PraVer""";Luiz Fernando Alves;;x;;;;x;;;;;;;x;;;;;https://translators101.com.br/video/locjam-solucoes-praver-s06e02/
S06E03;Esports e jogos digitais competitivos - O que são, por que são importantes e casos de tradução e interpretação;Bhernardo Viana;;x;;;;x;;;;;;;x;;;;;https://translators101.com.br/video/esports-e-jogos-digitais-competitivos-s06e03/
